Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
INSERT,200,200,1400,0.37630296,0.00026879,0.06271716,0.06271716,All
SELECT,200,0,130,0.03928971,0.00030223,0.03928971,0.03928971,SELECT group reservation per device
SELECT,200,0,130,0.01261234,0.00009702,0.01261234,0.01261234,SELECT count average reservation time per device
SELECT,200,0,65,0.00364470,0.00005607,0.00364470,0.00364470,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01297784,0.00000000,0.01297784,0.01297784,SELECT find dormitory messages
SELECT,200,0,0,0.00200057,0.00000000,0.00200057,0.00200057,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00196266,0.00000981,0.00196266,0.00196266,SELECT count problems by status
SELECT,200,0,106,0.01399899,0.00013207,0.01399899,0.01399899,SELECT group messages per dormitory
SELECT,200,0,831,0.08648682,0.00010408,0.00960965,0.00960965,All
UPDATE,200,0,74,0.04515338,0.00061018,0.04515338,0.04515338,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00406647,0.00002033,0.00406647,0.00406647,UPDATE reservation time
UPDATE,200,0,0,0.00100064,0.00000000,0.00100064,0.00100064,UPDATE status when problem is older than
UPDATE,200,0,1,0.00099921,0.00099921,0.00099921,0.00099921,UPDATE one message
UPDATE,200,0,275,0.05121970,0.00018625,0.01280493,0.01280493,All
DELETE,400,0,2,0.03778815,0.01889408,0.03778815,0.03778815,DELETE many not in batch
DELETE,400,0,394,0.00275636,0.00000700,0.00275636,0.00275636,DELETE many in batch
DELETE,400,0,398,0.04560947,0.00011460,0.01140237,0.01140237,All
INSERT,200,200,1400,0.37569308,0.00026835,0.06261551,0.06261551,All
SELECT,200,0,129,0.03758550,0.00029136,0.03758550,0.03758550,SELECT group reservation per device
SELECT,200,0,129,0.01724267,0.00013366,0.01724267,0.01724267,SELECT count average reservation time per device
SELECT,200,0,75,0.00500011,0.00006667,0.00500011,0.00500011,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01466846,0.00000000,0.01466846,0.01466846,SELECT find dormitory messages
SELECT,200,0,0,0.00200367,0.00000000,0.00200367,0.00200367,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00206065,0.00001030,0.00206065,0.00206065,SELECT count problems by status
SELECT,200,0,106,0.01521063,0.00014350,0.01521063,0.01521063,SELECT group messages per dormitory
SELECT,200,0,839,0.09377170,0.00011177,0.01041908,0.01041908,All
UPDATE,200,0,77,0.02137566,0.00027761,0.02137566,0.02137566,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00399899,0.00001999,0.00399899,0.00399899,UPDATE reservation time
UPDATE,200,0,0,0.00099993,0.00000000,0.00099993,0.00099993,UPDATE status when problem is older than
UPDATE,200,0,1,0.00113440,0.00113440,0.00113440,0.00113440,UPDATE one message
UPDATE,200,0,278,0.02750897,0.00009895,0.00687724,0.00687724,All
DELETE,400,0,2,0.02016377,0.01008189,0.02016377,0.02016377,DELETE many not in batch
DELETE,400,0,394,0.00305080,0.00000774,0.00305080,0.00305080,DELETE many in batch
DELETE,400,0,398,0.02926254,0.00007352,0.00731564,0.00731564,All
INSERT,200,200,1400,0.39392161,0.00028137,0.06565360,0.06565360,All
SELECT,200,0,132,0.03940964,0.00029856,0.03940964,0.03940964,SELECT group reservation per device
SELECT,200,0,132,0.01311922,0.00009939,0.01311922,0.01311922,SELECT count average reservation time per device
SELECT,200,0,61,0.00305533,0.00005009,0.00305533,0.00305533,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01406169,0.00000000,0.01406169,0.01406169,SELECT find dormitory messages
SELECT,200,0,0,0.00099969,0.00000000,0.00099969,0.00099969,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00200391,0.00001002,0.00200391,0.00200391,SELECT count problems by status
SELECT,200,0,111,0.01462364,0.00013174,0.01462364,0.01462364,SELECT group messages per dormitory
SELECT,200,0,836,0.08727312,0.00010439,0.00969701,0.00969701,All
UPDATE,200,0,66,0.01907253,0.00028898,0.01907253,0.01907253,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00404596,0.00002023,0.00404596,0.00404596,UPDATE reservation time
UPDATE,200,0,0,0.00099897,0.00000000,0.00099897,0.00099897,UPDATE status when problem is older than
UPDATE,200,0,1,0.00100088,0.00100088,0.00100088,0.00100088,UPDATE one message
UPDATE,200,0,267,0.02511835,0.00009408,0.00627959,0.00627959,All
DELETE,400,0,2,0.01774144,0.00887072,0.01774144,0.01774144,DELETE many not in batch
DELETE,400,0,394,0.00256085,0.00000650,0.00256085,0.00256085,DELETE many in batch
DELETE,400,0,398,0.02835727,0.00007125,0.00708932,0.00708932,All
INSERT,200,200,1400,0.40066910,0.00028619,0.06677818,0.06677818,All
SELECT,200,0,121,0.03879046,0.00032058,0.03879046,0.03879046,SELECT group reservation per device
SELECT,200,0,121,0.01217532,0.00010062,0.01217532,0.01217532,SELECT count average reservation time per device
SELECT,200,0,52,0.00352955,0.00006788,0.00352955,0.00352955,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01305985,0.00000000,0.01305985,0.01305985,SELECT find dormitory messages
SELECT,200,0,0,0.00164247,0.00000000,0.00164247,0.00164247,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00100064,0.00000500,0.00100064,0.00100064,SELECT count problems by status
SELECT,200,0,103,0.01616454,0.00015694,0.01616454,0.01616454,SELECT group messages per dormitory
SELECT,200,0,797,0.08636284,0.00010836,0.00959587,0.00959587,All
UPDATE,200,0,59,0.02006316,0.00034005,0.02006316,0.02006316,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00615716,0.00003079,0.00615716,0.00615716,UPDATE reservation time
UPDATE,200,0,0,0.00117326,0.00000000,0.00117326,0.00117326,UPDATE status when problem is older than
UPDATE,200,0,1,0.00199938,0.00199938,0.00199938,0.00199938,UPDATE one message
UPDATE,200,0,260,0.02939296,0.00011305,0.00734824,0.00734824,All
DELETE,400,0,2,0.02319622,0.01159811,0.02319622,0.02319622,DELETE many not in batch
DELETE,400,0,394,0.00300312,0.00000762,0.00300312,0.00300312,DELETE many in batch
DELETE,400,0,398,0.03107452,0.00007808,0.00776863,0.00776863,All
INSERT,200,200,1400,0.38534355,0.00027525,0.06422393,0.06422393,All
SELECT,200,0,126,0.04445362,0.00035281,0.04445362,0.04445362,SELECT group reservation per device
SELECT,200,0,126,0.01565409,0.00012424,0.01565409,0.01565409,SELECT count average reservation time per device
SELECT,200,0,58,0.00420499,0.00007250,0.00420499,0.00420499,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01416707,0.00000000,0.01416707,0.01416707,SELECT find dormitory messages
SELECT,200,0,0,0.00100708,0.00000000,0.00100708,0.00100708,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00208235,0.00001041,0.00208235,0.00208235,SELECT count problems by status
SELECT,200,0,109,0.01518011,0.00013927,0.01518011,0.01518011,SELECT group messages per dormitory
SELECT,200,0,819,0.09674931,0.00011813,0.01074992,0.01074992,All
UPDATE,200,0,61,0.02724457,0.00044663,0.02724457,0.02724457,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00499964,0.00002500,0.00499964,0.00499964,UPDATE reservation time
UPDATE,200,0,0,0.00100374,0.00000000,0.00100374,0.00100374,UPDATE status when problem is older than
UPDATE,200,0,1,0.00200081,0.00200081,0.00200081,0.00200081,UPDATE one message
UPDATE,200,0,262,0.03524876,0.00013454,0.00881219,0.00881219,All
DELETE,400,0,2,0.02024579,0.01012290,0.02024579,0.02024579,DELETE many not in batch
DELETE,400,0,394,0.00308299,0.00000782,0.00308299,0.00308299,DELETE many in batch
DELETE,400,0,398,0.03044605,0.00007650,0.00761151,0.00761151,All
INSERT,200,200,1400,0.41222668,0.00029445,0.06870445,0.06870445,All
SELECT,200,0,123,0.03738141,0.00030391,0.03738141,0.03738141,SELECT group reservation per device
SELECT,200,0,123,0.01145267,0.00009311,0.01145267,0.01145267,SELECT count average reservation time per device
SELECT,200,0,61,0.00396180,0.00006495,0.00396180,0.00396180,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01333857,0.00000000,0.01333857,0.01333857,SELECT find dormitory messages
SELECT,200,0,0,0.00103617,0.00000000,0.00103617,0.00103617,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00213957,0.00001070,0.00213957,0.00213957,SELECT count problems by status
SELECT,200,0,107,0.01310325,0.00012246,0.01310325,0.01310325,SELECT group messages per dormitory
SELECT,200,0,814,0.08241343,0.00010125,0.00915705,0.00915705,All
UPDATE,200,0,63,0.01902509,0.00030199,0.01902509,0.01902509,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00300074,0.00001500,0.00300074,0.00300074,UPDATE reservation time
UPDATE,200,0,0,0.00100160,0.00000000,0.00100160,0.00100160,UPDATE status when problem is older than
UPDATE,200,0,1,0.00207710,0.00207710,0.00207710,0.00207710,UPDATE one message
UPDATE,200,0,264,0.02510452,0.00009509,0.00627613,0.00627613,All
DELETE,400,0,2,0.03470254,0.01735127,0.03470254,0.03470254,DELETE many not in batch
DELETE,400,0,394,0.00298381,0.00000757,0.00298381,0.00298381,DELETE many in batch
DELETE,400,0,398,0.04451084,0.00011184,0.01112771,0.01112771,All
INSERT,200,200,1400,0.37185788,0.00026561,0.06197631,0.06197631,All
SELECT,200,0,117,0.04723716,0.00040374,0.04723716,0.04723716,SELECT group reservation per device
SELECT,200,0,117,0.01111388,0.00009499,0.01111388,0.01111388,SELECT count average reservation time per device
SELECT,200,0,55,0.00396538,0.00007210,0.00396538,0.00396538,SELECT count number of admins
SELECT,200,0,0,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find problem by id
SELECT,200,0,0,0.01303291,0.00000000,0.01303291,0.01303291,SELECT find dormitory messages
SELECT,200,0,0,0.00204730,0.00000000,0.00204730,0.00204730,SELECT find reservations earlier then concrete data
SELECT,200,0,200,0.00000000,0.00000000,0.00000000,0.00000000,SELECT find users
SELECT,200,0,200,0.00100183,0.00000501,0.00100183,0.00100183,SELECT count problems by status
SELECT,200,0,112,0.01479340,0.00013208,0.01479340,0.01479340,SELECT group messages per dormitory
SELECT,200,0,801,0.09319186,0.00011634,0.01035465,0.01035465,All
UPDATE,200,0,58,0.01803589,0.00031096,0.01803589,0.01803589,UPDATE password and other fields when user is admin
UPDATE,200,0,200,0.00407243,0.00002036,0.00407243,0.00407243,UPDATE reservation time
UPDATE,200,0,0,0.00100422,0.00000000,0.00100422,0.00100422,UPDATE status when problem is older than
UPDATE,200,0,1,0.00101018,0.00101018,0.00101018,0.00101018,UPDATE one message
UPDATE,200,0,259,0.02412271,0.00009314,0.00603068,0.00603068,All
DELETE,400,0,2,0.04014969,0.02007484,0.04014969,0.04014969,DELETE many not in batch
DELETE,400,0,394,0.00300241,0.00000762,0.00300241,0.00300241,DELETE many in batch
DELETE,400,0,398,0.04815316,0.00012099,0.01203829,0.01203829,All
INSERT,200,200,1400,0.39844656,0.00028460,0.06640776,0.06640776,All
